date,year,side,short_strike,credit,qty,pnl,exit,exit_time
20220909,2022,PUT,4065,0.95,3,278.99999999999994,expire,16:00
20220912,2022,CALL,4110,0.7,3,-6.0,touch,15:59
20220912,2022,PUT,4100,0.5,3,144.0,expire,16:00
20220913,2022,CALL,3940,0.7000000000000001,3,-246.0,touch,15:57
20220913,2022,PUT,3930,0.8999999999999999,3,-171.0,touch,15:55
20220914,2022,CALL,3945,0.7999999999999999,3,-141.0,touch,15:59
20220914,2022,PUT,3935,0.75,3,219.0,expire,16:00
20220915,2022,CALL,3905,0.65,3,-245.99999999999991,touch,15:55
20220915,2022,PUT,3895,1.05,3,309.00000000000006,expire,16:00
20220916,2022,CALL,3880,0.8999999999999999,3,264.0,expire,16:00
20220916,2022,PUT,3870,1.05,3,309.00000000000006,expire,16:00
20220919,2022,CALL,3900,0.35,3,-246.0,touch,15:59
20220919,2022,PUT,3890,1.0,3,294.0,expire,16:00
20220920,2022,CALL,3865,0.65,3,189.00000000000003,expire,16:00
20220920,2022,PUT,3855,0.6000000000000001,3,-290.99999999999994,touch,15:58
20220921,2022,CALL,3815,0.8500000000000001,3,249.00000000000003,expire,16:00
20220921,2022,PUT,3805,1.1500000000000001,3,-380.9999999999999,touch,15:54
20220922,2022,CALL,3780,0.7999999999999999,3,234.0,expire,16:00
20220922,2022,PUT,3770,0.85,3,-291.0,touch,15:55
20220923,2022,CALL,3695,0.65,3,98.99999999999999,touch,15:59
20220923,2022,PUT,3685,1.0499999999999998,3,-111.00000000000003,touch,15:56
20220926,2022,CALL,3675,0.9,3,-441.00000000000006,touch,15:53
20220926,2022,PUT,3665,1.1500000000000001,3,129.00000000000006,touch,15:55
20220927,2022,CALL,3655,0.8,3,234.00000000000003,expire,16:00
20220927,2022,PUT,3640,0.7,3,203.99999999999997,expire,16:00
20220928,2022,CALL,3735,0.75,3,219.0,expire,16:00
20220928,2022,PUT,3725,0.6000000000000001,3,-290.99999999999994,touch,15:58
20220929,2022,CALL,3650,0.6000000000000001,3,174.00000000000003,expire,16:00
20220929,2022,PUT,3635,0.5,3,144.0,expire,16:00
20220930,2022,CALL,3605,0.8499999999999999,3,248.99999999999997,expire,16:00
20220930,2022,PUT,3590,1.0000000000000002,3,-591.0,touch,15:56
20221003,2022,CALL,3685,0.7,3,203.99999999999997,expire,16:00
20221003,2022,PUT,3675,0.7,3,203.99999999999997,expire,16:00
20221004,2022,CALL,3790,1.05,3,-171.0,touch,15:56
20221004,2022,PUT,3780,0.4,3,114.00000000000001,expire,16:00
20221005,2022,CALL,3790,0.8,3,234.00000000000003,expire,16:00
20221005,2022,PUT,3780,0.9,3,-201.00000000000003,touch,15:54
20221006,2022,CALL,3750,1.1999999999999997,3,-246.00000000000003,touch,15:55
20221006,2022,PUT,3740,0.7500000000000001,3,219.00000000000006,expire,16:00
20221007,2022,CALL,3650,0.7999999999999999,3,234.0,expire,16:00
20221007,2022,PUT,3635,0.75,3,219.0,expire,16:00
20221010,2022,CALL,3625,0.55,3,159.0,expire,16:00
20221010,2022,PUT,3615,0.95,3,8.99999999999998,touch,15:57
20221011,2022,CALL,3590,0.6,3,-291.0000000000001,touch,15:55
20221011,2022,PUT,3580,1.1,3,324.0,expire,16:00
20221012,2022,CALL,3590,0.6,3,173.99999999999997,expire,16:00
20221012,2022,PUT,3580,0.55,3,-215.99999999999997,touch,15:58
20221013,2022,CALL,3680,1.05,3,-336.0,touch,15:53
20221013,2022,PUT,3670,0.8500000000000001,3,9.000000000000046,touch,15:59
