label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"PUT, 15:52, d=5, t=$+0.5, w=5",15:52,5,5,0.5,PUT,5369,-2449,72.2,457,1.17,1.21,-561
"PUT, 15:52, d=5, t=$+0.5, w=10",15:52,5,10,0.5,PUT,6386,-671,75.8,495,2.91,1.65,-304
"BOTH, 15:52, d=5, t=$+0.5, w=5",15:52,5,5,0.5,BOTH,15449,-3663,74.7,906,1.81,1.36,-606
"BOTH, 15:52, d=5, t=$+0.5, w=10",15:52,5,10,0.5,BOTH,13801,-783,77.8,991,3.4,1.83,-304
"PUT, 15:52, d=5, t=$+1.0, w=5",15:52,5,5,1.0,PUT,3269,-3343,68.9,457,0.74,1.13,-561
"PUT, 15:52, d=5, t=$+1.0, w=10",15:52,5,10,1.0,PUT,5631,-671,72.9,495,2.69,1.6,-304
"BOTH, 15:52, d=5, t=$+1.0, w=5",15:52,5,5,1.0,BOTH,11789,-5568,72.2,906,1.41,1.27,-848
"BOTH, 15:52, d=5, t=$+1.0, w=10",15:52,5,10,1.0,BOTH,12086,-1136,75.6,991,3.0,1.73,-484
"PUT, 15:52, d=5, t=$+2.0, w=5",15:52,5,5,2.0,PUT,1994,-3628,63.7,457,0.49,1.09,-561
"PUT, 15:52, d=5, t=$+2.0, w=10",15:52,5,10,2.0,PUT,4731,-836,67.3,495,2.46,1.55,-304
"BOTH, 15:52, d=5, t=$+2.0, w=5",15:52,5,5,2.0,BOTH,7559,-5724,66.6,906,0.97,1.18,-848
"BOTH, 15:52, d=5, t=$+2.0, w=10",15:52,5,10,2.0,BOTH,9501,-1224,69.5,991,2.49,1.58,-484
"PUT, 15:53, d=0, t=None, w=5",15:53,0,5,,PUT,-55842,-56225,25.7,483,-9.34,0.14,-1508
"PUT, 15:53, d=0, t=None, w=10",15:53,0,10,,PUT,-20033,-20197,32.5,486,-6.3,0.23,-944
"BOTH, 15:53, d=0, t=None, w=5",15:53,0,5,,BOTH,-100108,-100617,25.4,1007,-9.08,0.15,-1508
"BOTH, 15:53, d=0, t=None, w=10",15:53,0,10,,BOTH,-33134,-33385,32.4,1011,-6.04,0.26,-944
"PUT, 15:53, d=0, t=$-0.5, w=5",15:53,0,5,-0.5,PUT,-5417,-9087,51.1,483,-0.6,0.91,-1508
"PUT, 15:53, d=0, t=$-0.5, w=10",15:53,0,10,-0.5,PUT,1237,-2842,54.9,486,0.28,1.05,-944
"BOTH, 15:53, d=0, t=$-0.5, w=5",15:53,0,5,-0.5,BOTH,7807,-11954,54.1,1007,0.45,1.07,-1508
"BOTH, 15:53, d=0, t=$-0.5, w=10",15:53,0,10,-0.5,BOTH,11361,-3477,57.8,1011,1.42,1.28,-944
"PUT, 15:53, d=0, t=$+0.0, w=5",15:53,0,5,0,PUT,-10587,-13055,48.9,483,-1.2,0.82,-1508
"PUT, 15:53, d=0, t=$+0.0, w=10",15:53,0,10,0,PUT,-873,-3160,52.7,486,-0.2,0.96,-944
"BOTH, 15:53, d=0, t=$+0.0, w=5",15:53,0,5,0,BOTH,-10588,-17141,50.0,1007,-0.64,0.9,-1508
"BOTH, 15:53, d=0, t=$+0.0, w=10",15:53,0,10,0,BOTH,4066,-3749,53.7,1011,0.52,1.1,-944
"PUT, 15:53, d=0, t=$+0.5, w=5",15:53,0,5,0.5,PUT,-17957,-20340,44.7,483,-2.11,0.7,-1508
"PUT, 15:53, d=0, t=$+0.5, w=10",15:53,0,10,0.5,PUT,-3723,-4710,49.8,486,-0.87,0.85,-944
"BOTH, 15:53, d=0, t=$+0.5, w=5",15:53,0,5,0.5,BOTH,-27643,-32297,45.1,1007,-1.74,0.75,-1508
"BOTH, 15:53, d=0, t=$+0.5, w=10",15:53,0,10,0.5,BOTH,-2959,-5248,49.8,1011,-0.4,0.93,-944
"PUT, 15:53, d=0, t=$+1.0, w=5",15:53,0,5,1.0,PUT,-25292,-27715,39.3,483,-3.08,0.59,-1508
"PUT, 15:53, d=0, t=$+1.0, w=10",15:53,0,10,1.0,PUT,-7138,-8125,44.7,486,-1.72,0.72,-944
"BOTH, 15:53, d=0, t=$+1.0, w=5",15:53,0,5,1.0,BOTH,-39533,-42382,41.5,1007,-2.59,0.65,-1508
"BOTH, 15:53, d=0, t=$+1.0, w=10",15:53,0,10,1.0,BOTH,-8004,-9591,46.3,1011,-1.11,0.81,-944
"PUT, 15:53, d=0, t=$+2.0, w=5",15:53,0,5,2.0,PUT,-32617,-34475,35.8,483,-4.25,0.47,-1508
"PUT, 15:53, d=0, t=$+2.0, w=10",15:53,0,10,2.0,PUT,-9983,-10770,41.8,486,-2.53,0.6,-944
"BOTH, 15:53, d=0, t=$+2.0, w=5",15:53,0,5,2.0,BOTH,-58628,-60167,36.5,1007,-4.19,0.48,-1508
"BOTH, 15:53, d=0, t=$+2.0, w=10",15:53,0,10,2.0,BOTH,-15869,-16761,41.6,1011,-2.35,0.63,-944
"PUT, 15:53, d=1, t=None, w=5",15:53,1,5,,PUT,-49421,-49681,23.6,495,-9.42,0.12,-1508
"PUT, 15:53, d=1, t=None, w=10",15:53,1,10,,PUT,-17156,-17369,30.1,502,-6.18,0.21,-944
"BOTH, 15:53, d=1, t=None, w=5",15:53,1,5,,BOTH,-88792,-89178,23.1,1028,-9.33,0.13,-1508
"BOTH, 15:53, d=1, t=None, w=10",15:53,1,10,,BOTH,-28973,-29179,29.9,1038,-6.05,0.23,-944
"PUT, 15:53, d=1, t=$-0.5, w=5",15:53,1,5,-0.5,PUT,3379,-7630,59.0,495,0.42,1.07,-1508
"PUT, 15:53, d=1, t=$-0.5, w=10",15:53,1,10,-0.5,PUT,5319,-2133,62.0,502,1.32,1.27,-944
"BOTH, 15:53, d=1, t=$-0.5, w=5",15:53,1,5,-0.5,BOTH,19053,-7656,61.0,1028,1.24,1.22,-1508
"BOTH, 15:53, d=1, t=$-0.5, w=10",15:53,1,10,-0.5,BOTH,16697,-2160,64.0,1038,2.3,1.51,-944
"PUT, 15:53, d=1, t=$+0.0, w=5",15:53,1,5,0,PUT,419,-8215,57.0,495,0.05,1.01,-1508
"PUT, 15:53, d=1, t=$+0.0, w=10",15:53,1,10,0,PUT,4159,-2261,60.2,502,1.06,1.22,-944
"BOTH, 15:53, d=1, t=$+0.0, w=5",15:53,1,5,0,BOTH,7168,-10119,57.7,1028,0.48,1.08,-1508
"BOTH, 15:53, d=1, t=$+0.0, w=10",15:53,1,10,0,BOTH,11682,-2128,60.7,1038,1.66,1.35,-944
"PUT, 15:53, d=1, t=$+0.5, w=5",15:53,1,5,0.5,PUT,-5976,-10531,53.5,495,-0.79,0.88,-1508
"PUT, 15:53, d=1, t=$+0.5, w=10",15:53,1,10,0.5,PUT,1709,-2674,57.4,502,0.45,1.09,-944
"BOTH, 15:53, d=1, t=$+0.5, w=5",15:53,1,5,0.5,BOTH,-7917,-14760,53.3,1028,-0.56,0.91,-1508
"BOTH, 15:53, d=1, t=$+0.5, w=10",15:53,1,10,0.5,BOTH,5337,-2813,56.8,1038,0.79,1.16,-944
"PUT, 15:53, d=1, t=$+1.0, w=5",15:53,1,5,1.0,PUT,-12906,-15279,47.1,495,-1.74,0.75,-1508
"PUT, 15:53, d=1, t=$+1.0, w=10",15:53,1,10,1.0,PUT,-1191,-3094,51.4,502,-0.32,0.94,-944
"BOTH, 15:53, d=1, t=$+1.0, w=5",15:53,1,5,1.0,BOTH,-18092,-20780,48.8,1028,-1.31,0.8,-1508
"BOTH, 15:53, d=1, t=$+1.0, w=10",15:53,1,10,1.0,BOTH,1182,-3651,52.7,1038,0.18,1.03,-944
"PUT, 15:53, d=1, t=$+2.0, w=5",15:53,1,5,2.0,PUT,-19396,-21764,41.8,495,-2.76,0.61,-1508
