date,unfiltered_pnl,action,size,filtered_pnl,actual_range
2025-01-31,60,REDUCE,0.5,30.0,0.014758586075623331
2025-02-03,-200,TRADE,1.0,-200.0,0.016449875620848764
2025-02-04,120,TRADE,1.0,120.0,0.008604334010209777
2025-02-05,120,TRADE,1.0,120.0,0.009268410168674978
2025-02-06,150,TRADE,1.0,150.0,0.006126260247487709
2025-02-07,60,TRADE,1.0,60.0,0.013368118057644618
2025-02-10,150,TRADE,1.0,150.0,0.00472016406456734
2025-02-11,150,TRADE,1.0,150.0,0.005610547962415544
2025-02-12,120,TRADE,1.0,120.0,0.00995837399669382
2025-02-13,60,TRADE,1.0,60.0,0.010883428841086435
2025-02-14,150,TRADE,1.0,150.0,0.0032458400920936177
2025-02-18,150,TRADE,1.0,150.0,0.00492028227914269
2025-02-19,150,TRADE,1.0,150.0,0.00593027513338226
2025-02-20,120,TRADE,1.0,120.0,0.008135952400358604
2025-02-21,-200,TRADE,1.0,-200.0,0.017379499844621334
2025-02-24,60,TRADE,1.0,60.0,0.010921417892740412
2025-02-25,60,TRADE,1.0,60.0,0.01406715663250721
2025-02-26,60,TRADE,1.0,60.0,0.01291771550879522
2025-02-27,-600,SKIP,0.0,0.0,0.022553110393388007
2025-02-28,-600,TRADE,1.0,-600.0,0.020786307741166552
2025-03-03,-600,REDUCE,0.5,-300.0,0.029351594164531838
