date,actual_range,pred_range_ensemble,pred_range_sim,pred_range_naive,pred_bucket,actual_bucket,danger_prob,action,is_danger,pred_danger
2025-05-29,0.01167179576966847,0.009163353686260258,0.011961502568300078,0.009794887892073965,NORMAL,NORMAL,0.1547684154432793,TRADE,False,False
2025-05-30,0.013293425953686516,0.01133386784332596,0.014648887051727153,0.01167179576966847,NORMAL,VOLATILE,0.4013583360206707,SKIP,False,True
2025-06-02,0.012883520896504363,0.010423725952728731,0.012972502817311302,0.013293425953686516,NORMAL,VOLATILE,0.19847820584259343,TRADE,False,False
2025-06-03,0.008815268347882375,0.007635872550372723,0.009440394954561823,0.012883520896504363,NORMAL,NORMAL,0.049393787052448915,TRADE,False,False
2025-06-04,0.00407597333306571,0.007837520978069243,0.009463352186675615,0.008815268347882375,NORMAL,CALM,0.0986459043074593,TRADE,False,False
2025-06-05,0.01311465550222448,0.009739017018562343,0.011013332295345145,0.00407597333306571,NORMAL,VOLATILE,0.19866687351207896,TRADE,False,False
2025-06-06,0.006387108196677464,0.009363482457591527,0.010116847375342044,0.01311465550222448,NORMAL,CALM,0.10025134022240312,TRADE,False,False
2025-06-09,0.004518180137660457,0.007430585025883084,0.007683203362630224,0.006387108196677464,NORMAL,CALM,0.04901304429971374,TRADE,False,False
2025-06-10,0.007109923443113204,0.008655129431656175,0.009008624534497335,0.004518180137660457,NORMAL,NORMAL,0.10254950392827511,TRADE,False,False
2025-06-11,0.009435677705814468,0.006039171932747047,0.006362570699323984,0.007109923443113204,CALM,NORMAL,0.0,TRADE,False,False
2025-06-12,0.006913592572255808,0.008147285468619404,0.006999855534668859,0.009435677705814468,NORMAL,CALM,0.0,TRADE,False,False
2025-06-13,0.010490687535829959,0.009283698277941356,0.008809893834213893,0.006913592572255808,NORMAL,NORMAL,0.0504249069066931,TRADE,False,False
2025-06-16,0.007799800133244492,0.014161389065223651,0.0102626416507481,0.010490687535829959,VOLATILE,NORMAL,0.15239008977913943,TRADE,False,False
2025-06-17,0.008058681170629446,0.011888259933440344,0.00916768888965616,0.007799800133244492,NORMAL,NORMAL,0.15128476814452907,TRADE,False,False
2025-06-18,0.0077422414757687,0.017509762217401467,0.015449764726970582,0.008058681170629446,VOLATILE,NORMAL,0.4062896915395457,SKIP,False,True
2025-06-20,0.010940601733095223,0.012463831668410565,0.013925700602118726,0.0077422414757687,VOLATILE,NORMAL,0.3535929403396239,REDUCE,False,True
2025-06-23,0.014329100268524202,0.012102800329571792,0.01117860522484552,0.010940601733095223,VOLATILE,VOLATILE,0.20129896018361337,TRADE,False,False
2025-06-24,0.007013451109596965,0.007728989372605725,0.009327271889249162,0.014329100268524202,NORMAL,NORMAL,0.10045481666192592,TRADE,False,False
2025-06-25,0.004655787871688989,0.005167952047525949,0.006301194372710316,0.007013451109596965,CALM,CALM,0.0,TRADE,False,False
2025-06-26,0.006421698633364364,0.004128026561858734,0.005417245705000215,0.004655787871688989,CALM,CALM,0.0,TRADE,False,False
2025-06-27,0.008995724063927672,0.004593132129733009,0.006208039139475922,0.006421698633364364,CALM,NORMAL,0.0,TRADE,False,False
2025-06-30,0.006476290737176537,0.00800547233126252,0.008664012743371278,0.008995724063927672,NORMAL,CALM,0.10110050771840329,TRADE,False,False
2025-07-01,0.005302840518808759,0.009921449247175525,0.009864302540730611,0.006476290737176537,NORMAL,CALM,0.1512902177006484,TRADE,False,False
2025-07-02,0.00634658727647297,0.009386681506676637,0.008893711291997352,0.005302840518808759,NORMAL,CALM,0.09975142308143811,TRADE,False,False
2025-07-03,0.006113862891941932,0.008636848691702828,0.007905780471737537,0.00634658727647297,NORMAL,CALM,0.048751267124433506,TRADE,False,False
2025-07-07,0.009757087348858565,0.007910503933938865,0.007763215256163202,0.006113862891941932,NORMAL,NORMAL,0.04954920388621673,TRADE,False,False
2025-07-08,0.004002226489124983,0.01093639203097942,0.009573477546532984,0.009757087348858565,NORMAL,CALM,0.15107833550185418,TRADE,False,False
2025-07-09,0.006043249355712346,0.007661434440647534,0.006534140205219847,0.004002226489124983,NORMAL,CALM,0.0,TRADE,False,False
2025-07-10,0.006188166209229695,0.007774693729668326,0.0076902701954640355,0.006043249355712346,NORMAL,CALM,0.050511459472829104,TRADE,False,False
2025-07-11,0.005089774413013331,0.006306201590809974,0.00824963577479068,0.006188166209229695,CALM,CALM,0.053928700686454875,TRADE,False,False
2025-07-14,0.005449909274757623,0.008651776221408867,0.008586366815300946,0.005089774413013331,NORMAL,CALM,0.10155655617615775,TRADE,False,False
2025-07-15,0.009588120642575589,0.010528497178823792,0.008661974942973565,0.005449909274757623,NORMAL,NORMAL,0.10356007494269603,TRADE,False,False
