iteration,timestamp,idea,entry_time,direction,width,otm_distance,interval,filters,qty,num_trades,win_rate,total_pnl,max_drawdown,sharpe,calmar,profit_factor,avg_win,avg_loss,max_single_loss,verdict,notes
75,2026-04-03 07:55:56,prior_ret_sweep_2.5,15:55:00,both_sides,15,12,single,skip_wed+prior2.5pct,10,240,98.3,39660.0,-4250.0,6.21,9.33,7.13,195.47,-1617.5,-4250.0,SWEEP,
76,2026-04-03 07:56:00,prior_ret_sweep_3.0,15:55:00,both_sides,15,12,single,skip_wed+prior3.0pct,10,247,98.0,38940.0,-4250.0,5.8,9.16,5.54,196.32,-1714.0,-4250.0,SWEEP,
77,2026-04-03 07:59:52,slippage_mincredit_0.05,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,187,98.9,27080.0,-820.0,10.45,33.02,18.82,154.59,-760.0,-820.0,SWEEP,
78,2026-04-03 07:59:55,slippage_mincredit_0.1,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,89,98.9,23640.0,-700.0,15.68,33.77,34.77,276.59,-700.0,-700.0,SWEEP,
79,2026-04-03 07:59:59,slippage_mincredit_0.15,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,85,98.8,23320.0,-700.0,16.11,33.31,34.31,285.95,-700.0,-700.0,SWEEP,
80,2026-04-03 08:00:03,slippage_mincredit_0.2,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,53,98.1,18960.0,-700.0,17.71,27.09,28.09,378.08,-700.0,-700.0,SWEEP,
81,2026-04-03 08:00:08,slippage_mincredit_0.3,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,29,96.6,13990.0,-700.0,20.13,19.99,20.99,524.64,-700.0,-700.0,SWEEP,
82,2026-04-03 08:00:12,slippage_mincredit_0.5,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,12,100.0,8910.0,0.0,31.47,0,inf,742.5,0,480.0,SWEEP,
83,2026-04-03 08:00:13,friday_only_d10,15:55:00,both_sides,15,10,single,friday_only+prior1.5pct,10,91,100.0,18480.0,0.0,12.4,0,inf,203.08,0,30.0,CREATIVE,
84,2026-04-03 08:00:15,friday_only_d12,15:55:00,both_sides,15,12,single,friday_only+prior1.5pct,10,72,100.0,10810.0,0.0,12.65,0,inf,150.14,0,30.0,CREATIVE,
85,2026-04-03 08:00:16,friday_only_d15,15:55:00,both_sides,15,15,single,friday_only+prior1.5pct,10,41,100.0,4730.0,0.0,13.4,0,inf,115.37,0,30.0,CREATIVE,
86,2026-04-03 08:00:19,monthufi_d10,15:55:00,both_sides,15,10,single,skip_tue_wed+prior1.5pct,10,201,96.0,19650.0,-5570.0,2.64,3.53,2.04,199.43,-2355.0,-5570.0,CREATIVE,
87,2026-04-03 08:00:22,monthufi_d12,15:55:00,both_sides,15,12,single,skip_tue_wed+prior1.5pct,10,154,98.7,21540.0,-820.0,11.15,26.27,15.17,151.71,-760.0,-820.0,CREATIVE,
88,2026-04-03 08:00:26,monthufi_d15,15:55:00,both_sides,15,15,single,skip_tue_wed+prior1.5pct,10,92,98.9,9460.0,-820.0,9.79,11.54,12.54,112.97,-820.0,-820.0,CREATIVE,
